actor_name,actor_name,movies,revenues,costs,gross_profit,return,count
Andrew Dice Clay,Andrew Dice Clay,[https://en.wikipedia.org/wiki/Blue_Jasmine],97500000.0,18000000.0,30750000.0,1.70833333333,1
Eron Tabor,Eron Tabor,[https://en.wikipedia.org/wiki/I_Spit_on_Your_Grave],0.0,0.0,0.0,,1
Táta Vega,Táta Vega,[https://en.wikipedia.org/wiki/20_Feet_from_Stardom],5800000.0,1000000.0,1900000.0,1.9,1
Peter Riegert,Peter Riegert,[https://en.wikipedia.org/wiki/American_Pastoral_(film)],0.0,0.0,0.0,,1
James Caan,James Caan,"[https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_(film), https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_2, https://en.wikipedia.org/wiki/Detachment_(film), https://en.wikipedia.org/wiki/Middle_Men_(film)]",518054301.0,198000000.0,61027150.5,0.308217931818,4
David Shannon,David Shannon,[https://en.wikipedia.org/wiki/Saving_Christmas],2800000.0,500000.0,900000.0,1.8,1
Tabu,Tabu,[https://en.wikipedia.org/wiki/Life_of_Pi_(film)],609000000.0,120000000.0,184500000.0,1.5375,1
Kevin Zegers,Kevin Zegers,"[https://en.wikipedia.org/wiki/Frozen_(2010_American_film), https://en.wikipedia.org/wiki/The_Mortal_Instruments:_City_of_Bones]",90600000.0,60000000.0,-14700000.0,-0.245,2
Mike Myers,Mike Myers,"[https://en.wikipedia.org/wiki/Shrek_Forever_After, https://en.wikipedia.org/wiki/Shrek_the_Third]",1551600000.0,295000000.0,480800000.0,1.62983050847,2
Auli'i Cravalho,Auli'i Cravalho,[https://en.wikipedia.org/wiki/Moana_(2016_film)],555200000.0,150000000.0,127600000.0,0.850666666667,1
Anneliese van der Pol,Anneliese van der Pol,[https://en.wikipedia.org/wiki/Vampires_Suck],80500000.0,20000000.0,20250000.0,1.0125,1
Lloyd Hollar,Lloyd Hollar,[https://en.wikipedia.org/wiki/The_Crazies_(1973_film)],143784.0,275000.0,-203108.0,-0.738574545455,1
R. A. Mihailoff,R. A. Mihailoff,[https://en.wikipedia.org/wiki/Hatchet_II],0.0,0.0,0.0,,1
