actor_name,movies,revenues,costs,gross_profit,return,count
Lisa Fischer,[https://en.wikipedia.org/wiki/20_Feet_from_Stardom],5800000,1000000,1900000,1.9,1
Dave Goelz,[https://en.wikipedia.org/wiki/Muppets_from_Space],22300000,24000000,-12850000,-0.535416667,1
Rebecca Romijn,[https://en.wikipedia.org/wiki/Good_Deeds],35600000,14000000,3800000,0.271428571,1
June Diane Raphael,[https://en.wikipedia.org/wiki/Unfinished_Business_(2015_film)],14400000,35000000,-27800000,-0.794285714,1
Riley Thomas Stewart,[https://en.wikipedia.org/wiki/Straight_A%27s],5234456,2000000,617228,0.308614,1
Eli Wallach,"[https://en.wikipedia.org/wiki/The_Magnificent_Seven, https://en.wikipedia.org/wiki/Wall_Street:_Money_Never_Sleeps]",136950000,72000000,-3525000,-0.048958333,2
J. K. Simmons,"[https://en.wikipedia.org/wiki/3_Geezers!, https://en.wikipedia.org/wiki/Barefoot_(film), https://en.wikipedia.org/wiki/Crazy_on_the_Outside, https://en.wikipedia.org/wiki/Dark_Skies_(film), https://en.wikipedia.org/wiki/Kung_Fu_Panda_3, https://en.wikipedia.org/wiki/Terminator_Genisys, https://en.wikipedia.org/wiki/The_Accountant_(2016_film), https://en.wikipedia.org/wiki/Whiplash_(2014_film), https://en.wikipedia.org/wiki/Zootopia]",2212800000,470700000,635700000,1.350541746,9
Bradley Michael Pierce,[https://en.wikipedia.org/wiki/Beauty_and_the_Beast_3D],425000000,25000000,187500000,7.5,1
Barbara Hershey,"[https://en.wikipedia.org/wiki/Black_Swan_(film), https://en.wikipedia.org/wiki/Insidious:_Chapter_2, https://en.wikipedia.org/wiki/Insidious_(2011_film), https://en.wikipedia.org/wiki/Insidious_(film)]",685300000,21000000,321650000,15.31666667,4
Kaitlyn Dias,[https://en.wikipedia.org/wiki/Inside_Out_(2015_film)],857600000,175000000,253800000,1.450285714,1
Melora Walters,[https://en.wikipedia.org/wiki/Short_Term_12],1600000,1000000,-200000,-0.2,1
Ann Dowd,[https://en.wikipedia.org/wiki/Compliance_(film)],0,0,0,,1
Dimitri Diatchenko,[https://en.wikipedia.org/wiki/Chernobyl_Diaries],37200000,1000000,17600000,17.6,1
Method Man,[https://en.wikipedia.org/wiki/Keanu_(film)],20700000,15000000,-4650000,-0.31,1
Jill Scott,"[https://en.wikipedia.org/wiki/Why_Did_I_Get_Married%3F, https://en.wikipedia.org/wiki/Why_Did_I_Get_Married_Too%3F]",60095852,20000000,10047926,0.5023963,2
Jeff Fahey,[https://en.wikipedia.org/wiki/Machete_(film)],44093316,10500000,11546658,1.099681714,1
Ben Davies (American Actor),[https://en.wikipedia.org/wiki/Courageous_(film)],34522221,2000000,15261110.5,7.63055525,1
Michaela Watkins,"[https://en.wikipedia.org/wiki/In_a_World..., https://en.wikipedia.org/wiki/The_Back-up_Plan]",80600000,36000000,4300000,0.119444444,2
Alex Garfin,[https://en.wikipedia.org/wiki/The_Peanuts_Movie],246200000,99000000,24100000,0.243434343,1
Amy Madigan,[https://en.wikipedia.org/wiki/That%27s_What_I_Am],0,0,0,,1
MÃ©lanie Laurent,"[https://en.wikipedia.org/wiki/Beginners, https://en.wikipedia.org/wiki/Now_You_See_Me_(film)]",366000000,78200000,104800000,1.340153453,2
Ted McGinley,[https://en.wikipedia.org/wiki/Do_You_Believe%3F_(film)],14400000,2300000,4900000,2.130434783,1
Hugh Keays-Byrne,[https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road],378900000,150000000,39450000,0.263,1
Taylor Hawkins,[https://en.wikipedia.org/wiki/CBGB_(film)],0,0,0,,1
Geoff Stults,[https://en.wikipedia.org/wiki/She%27s_Out_of_My_League],49800000,20000000,4900000,0.245,1
Richard Liberty,[https://en.wikipedia.org/wiki/The_Crazies_(1973_film)],143784,275000,-203108,-0.738574545,1
Clancy Brown,"[https://en.wikipedia.org/wiki/At_Any_Price_(film), https://en.wikipedia.org/wiki/Cowboys_%26_Aliens, https://en.wikipedia.org/wiki/Homefront_(film), https://en.wikipedia.org/wiki/John_Dies_at_the_End_(film), https://en.wikipedia.org/wiki/The_SpongeBob_Movie:_Sponge_Out_of_Water]",541441951,260000000,10720975.5,0.041234521,5
Amanda Crew,"[https://en.wikipedia.org/wiki/Charlie_St._Cloud_(film), https://en.wikipedia.org/wiki/Knife_Fight_(film), https://en.wikipedia.org/wiki/The_Haunting_in_Connecticut]",125718436,54000000,8859218,0.164059593,3
Albert Finney,"[https://en.wikipedia.org/wiki/The_Bourne_Legacy_(film), https://en.wikipedia.org/wiki/The_Bourne_Ultimatum_(film)]",718900000,235000000,124450000,0.529574468,2
Dolly Parton,"[https://en.wikipedia.org/wiki/Gnomeo_and_Juliet, https://en.wikipedia.org/wiki/Joyful_Noise_(film)]",225158113,61000000,51579056.5,0.845558303,2
Mickey Sumner,"[https://en.wikipedia.org/wiki/CBGB_(film), https://en.wikipedia.org/wiki/Frances_Ha]",11300000,3000000,2650000,0.883333333,2
Max Minghella,"[https://en.wikipedia.org/wiki/The_Darkest_Hour_(film), https://en.wikipedia.org/wiki/The_Internship, https://en.wikipedia.org/wiki/The_Social_Network]",382500000,128000000,63250000,0.494140625,3
Andy GarcÃ_a,"[https://en.wikipedia.org/wiki/A_Dark_Truth, https://en.wikipedia.org/wiki/Let%27s_Be_Cops, https://en.wikipedia.org/wiki/Max_Steel_(film), https://en.wikipedia.org/wiki/Rio_2]",644600000,130000000,192300000,1.479230769,4
Catherine Chan,[https://en.wikipedia.org/wiki/Safe_(2012_film)],40346186,30000000,-9826907,-0.327563567,1
Kim Coates,"[https://en.wikipedia.org/wiki/A_Dark_Truth, https://en.wikipedia.org/wiki/Resident_Evil:_Afterlife, https://en.wikipedia.org/wiki/Silent_Hill_(film)]",397800000,110000000,88900000,0.808181818,3
Jaleel White,"[https://en.wikipedia.org/wiki/Judy_Moody_and_the_Not_Bummer_Summer, https://en.wikipedia.org/wiki/Mega_Shark_Versus_Crocosaurus]",17500543,100020,8650251.5,86.48521796,2
Sarah Snook,[https://en.wikipedia.org/wiki/Jessabelle],0,0,0,,1
Mike Tyson,[https://en.wikipedia.org/wiki/Meet_the_Blacks],9100000,900000,3650000,4.055555556,1
Amy Schumer,[https://en.wikipedia.org/wiki/Trainwreck_(film)],140800000,35000000,35400000,1.011428571,1
Jessica Brown Findlay,[https://en.wikipedia.org/wiki/Victor_Frankenstein_(film)],34200000,40000000,-22900000,-0.5725,1
Sela Ward,[https://en.wikipedia.org/wiki/Independence_Day:_Resurgence],389700000,165000000,29850000,0.180909091,1
Jeff Bridges,"[https://en.wikipedia.org/wiki/Iron_Man_(2008_film), https://en.wikipedia.org/wiki/R.I.P.D., https://en.wikipedia.org/wiki/Seventh_Son_(film), https://en.wikipedia.org/wiki/The_Giver_(film), https://en.wikipedia.org/wiki/Tron, https://en.wikipedia.org/wiki/Tron:_Legacy, https://en.wikipedia.org/wiki/True_Grit_(2010_film)]",1530100000,588400000,176650000,0.300220938,7
