length,based_on,box_office,budget,cinematography,country,director,distributor,editor,language,music,narration,producer,screenplay,starring,story,written_by,site,title,studio,revenues,check_rev,costs,check_costs,release_dates,release_year,release_month,release_day,stars_list,directors_list

118 minutes[1],"Annie
by Charles Strouse
Martin Charnin
Thomas Meehan
and
Little Orphan Annie
by Harold Gray",$133.8 million[3],$65 million[2][3],Michael Grady,United States,Will Gluck,Columbia Pictures,Tia Nolan,English,"Charles Strouse
Greg Kurstin
Sia Furler",,"


James Lassiter
Will Gluck
Jada Pinkett Smith
Will Smith
Caleeb Pinkett
Shawn ""Jay Z"" Carter
Jay Brown
Tyran Smith


","


Will Gluck
Aline Brosh McKenna


","


Jamie Foxx
QuvenzhanÃ© Wallis
Rose Byrne
Bobby Cannavale
Cameron Diaz
Adewale Akinnuoye-Agbaje
David Zayas


",,,https://en.wikipedia.org/wiki/Annie_(2014_film),Annie,"



Village Roadshow Pictures
Overbrook Entertainment



",133800000,<type 'float'>,65000000,<type 'float'>,"[2014-12-07 00:00:00, 2014-12-19 00:00:00]",2014,12,19-Dec,"[[, , , Jamie Foxx, QuvenzhanÃ© Wallis, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, , , ], [, , , Jamie Foxx, QuvenzhanÃ© Wallis, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, , , ], [, , , Jamie Foxx, QuvenzhanÃ© Wallis, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, , , ], [, , , Jamie Foxx, QuvenzhanÃ© Wallis, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, , , ], [, , , Jamie Foxx, QuvenzhanÃ© Wallis, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, , , ], [, , , Jamie Foxx, QuvenzhanÃ© Wallis, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, , , ], [, , , Jamie Foxx, QuvenzhanÃ© Wallis, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, , , ], [, , , Jamie Foxx, QuvenzhanÃ© Wallis, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, , , ], [, , , Jamie Foxx, QuvenzhanÃ© Wallis, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, , , ], [, , , Jamie Foxx, QuvenzhanÃ© Wallis, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, , , ], [, , , Jamie Foxx, QuvenzhanÃ© Wallis, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, , , ], [, , , Jamie Foxx, QuvenzhanÃ© Wallis, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, , , ], [, , , Jamie Foxx, QuvenzhanÃ© Wallis, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, , , ]]",[[Will Gluck]]

97 minutes[1],"Characters
by Thomas Lennon
Robert Ben Garant",$363.2 million[2],$127 million[2],Guillermo Navarro,United States,Shawn Levy,20th Century Fox,Dean Zimmerman,English,Alan Silvestri,,"


Shawn Levy
Chris Columbus
Mark Radcliffe


","


David Guion
Michael Handelman


","


Ben Stiller
Robin Williams
Owen Wilson
Dan Stevens
Ben Kingsley


","


Mark Friedman
David Guion
Michael Handelman


",,https://en.wikipedia.org/wiki/Night_at_the_Museum:_Secret_of_the_Tomb,"Night at the Museum:
Secret of the Tomb","



21 Laps Entertainment
1492 Pictures
TSG Entertainment



",363200000,<type 'float'>,127000000,<type 'float'>,"[2014-12-11 00:00:00, 2014-12-19 00:00:00]",2014,12,19-Dec,"[[, , , Ben Stiller, Robin Williams, Owen Wilson, Dan Stevens, Ben Kingsley, , , ], [, , , Ben Stiller, Robin Williams, Owen Wilson, Dan Stevens, Ben Kingsley, , , ], [, , , Ben Stiller, Robin Williams, Owen Wilson, Dan Stevens, Ben Kingsley, , , ], [, , , Ben Stiller, Robin Williams, Owen Wilson, Dan Stevens, Ben Kingsley, , , ], [, , , Ben Stiller, Robin Williams, Owen Wilson, Dan Stevens, Ben Kingsley, , , ], [, , , Ben Stiller, Robin Williams, Owen Wilson, Dan Stevens, Ben Kingsley, , , ], [, , , Ben Stiller, Robin Williams, Owen Wilson, Dan Stevens, Ben Kingsley, , , ], [, , , Ben Stiller, Robin Williams, Owen Wilson, Dan Stevens, Ben Kingsley, , , ], [, , , Ben Stiller, Robin Williams, Owen Wilson, Dan Stevens, Ben Kingsley, , , ], [, , , Ben Stiller, Robin Williams, Owen Wilson, Dan Stevens, Ben Kingsley, , , ], [, , , Ben Stiller, Robin Williams, Owen Wilson, Dan Stevens, Ben Kingsley, , , ]]",[[Shawn Levy]]

104 minutes,"Characters created by
Robert Ben Garant and Thomas Lennon and The Night at the Museum by Milan Trenc",$413.1 million[1],$150 million[1],John Schwartzman,United States,Shawn Levy,20th Century Fox,"


Don Zimmerman
Dean Zimmerman


",English,Alan Silvestri,,"


Shawn Levy
Chris Columbus
Michael Barnathan


",,"


Ben Stiller
Amy Adams
Owen Wilson
Hank Azaria
Christopher Guest
Alain Chabat
Robin Williams


",,"


Robert Ben Garant
Thomas Lennon


",https://en.wikipedia.org/wiki/Night_at_the_Museum:_Battle_of_the_Smithsonian,"Night at the Museum:
Battle of the Smithsonian","



21 Laps Entertainment
Ingenious Film Partners
1492 Pictures
Dune Entertainment



",413100000,<type 'float'>,150000000,<type 'float'>,[2009-05-22 00:00:00],2009,5,22-May,"[[, , , Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat, Robin Williams, , , ], [, , , Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat, Robin Williams, , , ], [, , , Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat, Robin Williams, , , ], [, , , Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat, Robin Williams, , , ], [, , , Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat, Robin Williams, , , ], [, , , Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat, Robin Williams, , , ], [, , , Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat, Robin Williams, , , ], [, , , Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat, Robin Williams, , , ], [, , , Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat, Robin Williams, , , ], [, , , Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat, Robin Williams, , , ], [, , , Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat, Robin Williams, , , ], [, , , Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat, Robin Williams, , , ], [, , , Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat, Robin Williams, , , ]]",[[Shawn Levy]]

106 minutes[1],,$29.3 million[3],$10 million[2],Bruno Delbonnel,United States,Tim Burton,The Weinstein Company,JC Bond,English,Danny Elfman,,"


Tim Burton
Scott Alexander
Larry Karaszewski
Lynette Howell


",,"


Amy Adams
Christoph Waltz
Danny Huston
Jon Polito
Krysten Ritter
Jason Schwartzman
Terence Stamp


",,"


Scott Alexander
Larry Karaszewski


",https://en.wikipedia.org/wiki/Big_Eyes,Big Eyes,"



Electric City Entertainment
Silverwood Films
Tim Burton Productions



",29300000,<type 'float'>,10000000,<type 'float'>,"[2014-12-15 00:00:00, 2014-12-25 00:00:00]",2014,12,25-Dec,"[[, , , Amy Adams, Christoph Waltz, Danny Huston, Jon Polito, Krysten Ritter, Jason Schwartzman, Terence Stamp, , , ], [, , , Amy Adams, Christoph Waltz, Danny Huston, Jon Polito, Krysten Ritter, Jason Schwartzman, Terence Stamp, , , ], [, , , Amy Adams, Christoph Waltz, Danny Huston, Jon Polito, Krysten Ritter, Jason Schwartzman, Terence Stamp, , , ], [, , , Amy Adams, Christoph Waltz, Danny Huston, Jon Polito, Krysten Ritter, Jason Schwartzman, Terence Stamp, , , ], [, , , Amy Adams, Christoph Waltz, Danny Huston, Jon Polito, Krysten Ritter, Jason Schwartzman, Terence Stamp, , , ], [, , , Amy Adams, Christoph Waltz, Danny Huston, Jon Polito, Krysten Ritter, Jason Schwartzman, Terence Stamp, , , ], [, , , Amy Adams, Christoph Waltz, Danny Huston, Jon Polito, Krysten Ritter, Jason Schwartzman, Terence Stamp, , , ], [, , , Amy Adams, Christoph Waltz, Danny Huston, Jon Polito, Krysten Ritter, Jason Schwartzman, Terence Stamp, , , ], [, , , Amy Adams, Christoph Waltz, Danny Huston, Jon Polito, Krysten Ritter, Jason Schwartzman, Terence Stamp, , , ], [, , , Amy Adams, Christoph Waltz, Danny Huston, Jon Polito, Krysten Ritter, Jason Schwartzman, Terence Stamp, , , ], [, , , Amy Adams, Christoph Waltz, Danny Huston, Jon Polito, Krysten Ritter, Jason Schwartzman, Terence Stamp, , , ], [, , , Amy Adams, Christoph Waltz, Danny Huston, Jon Polito, Krysten Ritter, Jason Schwartzman, Terence Stamp, , , ], [, , , Amy Adams, Christoph Waltz, Danny Huston, Jon Polito, Krysten Ritter, Jason Schwartzman, Terence Stamp, , , ]]",[[Tim Burton]]

112 minutes[1],,$11.3 million[4],$44 million[2][3],Brandon Trost,United States,"


Seth Rogen
Evan Goldberg


",Columbia Pictures,"


Zene Baker
Evan Henke


","


English
Korean


",Henry Jackman,,"


Seth Rogen
Evan Goldberg
James Weaver


",Dan Sterling,"


James Franco
Seth Rogen


","


Seth Rogen
Evan Goldberg
Dan Sterling


",,https://en.wikipedia.org/wiki/The_Interview,The Interview,"



Point Grey Pictures
LStar Capital



",11300000,<type 'float'>,44000000,<type 'float'>,"[2014-12-11 00:00:00, 2014-12-24 00:00:00]",2014,12,24-Dec,"[[, , , James Franco, Seth Rogen, , , ], [, , , James Franco, Seth Rogen, , , ], [, , , James Franco, Seth Rogen, , , ], [, , , James Franco, Seth Rogen, , , ], [, , , James Franco, Seth Rogen, , , ], [, , , James Franco, Seth Rogen, , , ], [, , , James Franco, Seth Rogen, , , ], [, , , James Franco, Seth Rogen, , , ]]","[[, , , Seth Rogen, Evan Goldberg, , , ], [, , , Seth Rogen, Evan Goldberg, , , ], [, , , Seth Rogen, Evan Goldberg, , , ], [, , , Seth Rogen, Evan Goldberg, , , ], [, , , Seth Rogen, Evan Goldberg, , , ], [, , , Seth Rogen, Evan Goldberg, , , ], [, , , Seth Rogen, Evan Goldberg, , , ], [, , , Seth Rogen, Evan Goldberg, , , ]]"

124 minutes[1],"Into the Woods
by Stephen Sondheim
James Lapine",$213.1 million[3],$50 million[2],Dion Beebe,United States,Rob Marshall,"Walt Disney Studios
Motion Pictures",Wyatt Smith,English,Stephen Sondheim,James Corden,"Rob Marshall
John DeLuca
Marc Platt
Callum McDougall",James Lapine,"Meryl Streep
Emily Blunt
James Corden
Anna Kendrick
Chris Pine
Tracey Ullman
Christine Baranski
Johnny Depp",,,https://en.wikipedia.org/wiki/Into_the_Woods_(film),Into the Woods,"
Walt Disney Pictures
Lucamar Productions
Marc Platt Productions
",213100000,<type 'float'>,50000000,<type 'float'>,"[2014-12-08 00:00:00, 2014-12-25 00:00:00]",2014,12,25-Dec,"[[Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman, Christine Baranski, Johnny Depp], [Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman, Christine Baranski, Johnny Depp], [Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman, Christine Baranski, Johnny Depp], [Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman, Christine Baranski, Johnny Depp], [Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman, Christine Baranski, Johnny Depp], [Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman, Christine Baranski, Johnny Depp], [Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman, Christine Baranski, Johnny Depp], [Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman, Christine Baranski, Johnny Depp]]",[[Rob Marshall]]

137 minutes[1],"Unbroken
by Laura Hillenbrand",$163.4 million[3],$65 million[2],Roger Deakins,United States,Angelina Jolie,Universal Pictures,"Tim Squyres
William Goldenberg","English
Japanese
Italian",Alexandre Desplat,,"Angelina Jolie
Matthew Baer
Erwin Stoff
Clayton Townsend","Joel Coen
Ethan Coen
Richard LaGravenese
William Nicholson","Jack O'Connell
Domhnall Gleeson
Miyavi
Garrett Hedlund
Finn Wittrock",,,https://en.wikipedia.org/wiki/Unbroken_(film),Unbroken,"
Legendary Pictures
Jolie Pas
3 Arts Entertainment
",163400000,<type 'float'>,65000000,<type 'float'>,"[2014-11-17 00:00:00, 2014-12-25 00:00:00]",2014,12,25-Dec,"[[Jack O'Connell, Domhnall Gleeson, Miyavi, Garrett Hedlund, Finn Wittrock], [Jack O'Connell, Domhnall Gleeson, Miyavi, Garrett Hedlund, Finn Wittrock], [Jack O'Connell, Domhnall Gleeson, Miyavi, Garrett Hedlund, Finn Wittrock], [Jack O'Connell, Domhnall Gleeson, Miyavi, Garrett Hedlund, Finn Wittrock], [Jack O'Connell, Domhnall Gleeson, Miyavi, Garrett Hedlund, Finn Wittrock]]",[[Angelina Jolie]]

98 minutes[2],,$48.9 million[6],$15 million[5],George Steel,"


Canada[3]
United Kingdom
United States[4]


",Tom Harper,Relativity Media,Mark Eckersley,English,"


Marco Beltrami
Brandon Roberts
Marcus Trumpp


",,"


Simon Oakes
Richard Jackson
Ben Holden
Tobin Armbrust


",Jon Croker,"


Phoebe Fox
Jeremy Irvine
Helen McCrory
Adrian Rawlins
Leanne Best
Ned Dennehy


",Susan Hill,,https://en.wikipedia.org/wiki/The_Woman_in_Black_2:_Angel_of_Death,The Woman in Black: Angel of Death,"



Hammer Films
Entertainment One
Exclusive Media (uncredited)



",48900000,<type 'float'>,15000000,<type 'float'>,"[2014-12-30 00:00:00, 2015-01-02 00:00:00]",2015,1,2-Jan,"[[, , , Phoebe Fox, Jeremy Irvine, Helen McCrory, Adrian Rawlins, Leanne Best, Ned Dennehy, , , ], [, , , Phoebe Fox, Jeremy Irvine, Helen McCrory, Adrian Rawlins, Leanne Best, Ned Dennehy, , , ], [, , , Phoebe Fox, Jeremy Irvine, Helen McCrory, Adrian Rawlins, Leanne Best, Ned Dennehy, , , ], [, , , Phoebe Fox, Jeremy Irvine, Helen McCrory, Adrian Rawlins, Leanne Best, Ned Dennehy, , , ], [, , , Phoebe Fox, Jeremy Irvine, Helen McCrory, Adrian Rawlins, Leanne Best, Ned Dennehy, , , ], [, , , Phoebe Fox, Jeremy Irvine, Helen McCrory, Adrian Rawlins, Leanne Best, Ned Dennehy, , , ], [, , , Phoebe Fox, Jeremy Irvine, Helen McCrory, Adrian Rawlins, Leanne Best, Ned Dennehy, , , ], [, , , Phoebe Fox, Jeremy Irvine, Helen McCrory, Adrian Rawlins, Leanne Best, Ned Dennehy, , , ], [, , , Phoebe Fox, Jeremy Irvine, Helen McCrory, Adrian Rawlins, Leanne Best, Ned Dennehy, , , ], [, , , Phoebe Fox, Jeremy Irvine, Helen McCrory, Adrian Rawlins, Leanne Best, Ned Dennehy, , , ], [, , , Phoebe Fox, Jeremy Irvine, Helen McCrory, Adrian Rawlins, Leanne Best, Ned Dennehy, , , ], [, , , Phoebe Fox, Jeremy Irvine, Helen McCrory, Adrian Rawlins, Leanne Best, Ned Dennehy, , , ]]",[[Tom Harper]]

95 minutes[1],"The Woman in Black
by Susan Hill",$128.5 million[5][6],$15 million[4],Tim Maurice-Jones,"United Kingdom
United States[2][3]",James Watkins,"Momentum Pictures (United Kingdom)
CBS Films (United States)",Jon Harris,English,Marco Beltrami,,"Richard Jackson
Simon Oakes
Brian Oliver",Jane Goldman,"Daniel Radcliffe
CiarÃ¡n Hinds
Janet McTeer
Liz White",,,https://en.wikipedia.org/wiki/The_Woman_in_Black_(2012_film),The Woman in Black,"
Cross Creek Pictures
Hammer Film Productions
Exclusive Media Group
",128500000,<type 'float'>,15000000,<type 'float'>,"[2012-02-03 00:00:00, 2012-02-10 00:00:00]",2012,2,10-Feb,"[[Daniel Radcliffe, CiarÃ¡n Hinds, Janet McTeer, Liz White], [Daniel Radcliffe, CiarÃ¡n Hinds, Janet McTeer, Liz White], [Daniel Radcliffe, CiarÃ¡n Hinds, Janet McTeer, Liz White], [Daniel Radcliffe, CiarÃ¡n Hinds, Janet McTeer, Liz White]]",[[James Watkins]]

109 minutes[1],,$326.4 million[2],$48 million[2],Eric Kress,France,Olivier Megaton,"20th Century Fox (US)
EuropaCorp (France)","


Audrey Simonaud
Nicolas Trembasiewicz


",English,Nathaniel MÃ©chaly,,Luc Besson,,"Liam Neeson
Forest Whitaker
Famke Janssen
Maggie Grace
Dougray Scott
Sam Spruell
Leland Orser",,"Luc Besson
Robert Mark Kamen",https://en.wikipedia.org/wiki/Taken_3,Taken 3,"
EuropaCorp
Canal+
CinÃ©+
M6 Films
TSG Entertainment
",326400000,<type 'float'>,48000000,<type 'float'>,"[2014-12-16 00:00:00, 2015-01-09 00:00:00, 2015-01-21 00:00:00]",2015,1,21-Jan,"[[Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace, Dougray Scott, Sam Spruell, Leland Orser], [Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace, Dougray Scott, Sam Spruell, Leland Orser], [Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace, Dougray Scott, Sam Spruell, Leland Orser], [Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace, Dougray Scott, Sam Spruell, Leland Orser], [Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace, Dougray Scott, Sam Spruell, Leland Orser], [Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace, Dougray Scott, Sam Spruell, Leland Orser], [Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace, Dougray Scott, Sam Spruell, Leland Orser]]",[[Olivier Megaton]]

92 minutes[1],,"$30,566[2]",,Luke Geissbuhler,United States,Stephen Belber,IFC Films,Madeleine Gavin,English,,,"David Permut
Matt Ratner
Rick Rosenthal",,"Patrick Stewart
Carla Gugino
Matthew Lillard",,Stephen Belber,https://en.wikipedia.org/wiki/Match_(film),Match,"
Permut Presentations
Sentinel Pictures
Tilted Windmill Productions
Whitewater Films
",30566,<type 'float'>,,,"[2014-04-18 00:00:00, 2015-01-14 00:00:00]",2015,1,14-Jan,"[[Patrick Stewart, Carla Gugino, Matthew Lillard], [Patrick Stewart, Carla Gugino, Matthew Lillard], [Patrick Stewart, Carla Gugino, Matthew Lillard]]",[[Stephen Belber]]

133 minutes[2],,$19.7 million[3],$70 million[3],Stuart Dryburgh,United States,Michael Mann,Universal Pictures,"


Joe Walker
Stephen E. Rivkin
Jeremiah O'Driscoll
Mako Kamitsuna


",English,"Harry Gregson-Williams[1]
Atticus Ross[1]
Leo Ross
Ryan Amon",,"


Thomas Tull
Michael Mann
Jon Jashni


",,"


Chris Hemsworth
Tang Wei
Viola Davis
Ritchie Coster
Holt McCallany
Yorick van Wageningen
Wang Leehom


",,"


Morgan Davis Foehl
Michael Mann


",https://en.wikipedia.org/wiki/Blackhat_(film),Blackhat,"



Legendary Pictures
Forward Pass



",19700000,<type 'float'>,70000000,<type 'float'>,"[2015-01-08 00:00:00, 2015-01-16 00:00:00]",2015,1,16-Jan,"[[, , , Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom, , , ], [, , , Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom, , , ], [, , , Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom, , , ], [, , , Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom, , , ], [, , , Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom, , , ], [, , , Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom, , , ], [, , , Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom, , , ], [, , , Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom, , , ], [, , , Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom, , , ], [, , , Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom, , , ], [, , , Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom, , , ], [, , , Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom, , , ], [, , , Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom, , , ]]",[[Michael Mann]]

95 minutes[1],"Paddington Bear
by Michael Bond",$288.7 million[3],â‚¬38.5 million ($50â€“55 million),Erik Wilson,"


United Kingdom
France[2]


",Paul King,StudioCanal[1],Mark Everson,English,Nick Urata,,David Heyman,Paul King,"


Hugh Bonneville
Sally Hawkins
Julie Walters
Jim Broadbent
Peter Capaldi
Nicole Kidman
Ben Whishaw


","


Paul King
Hamish McColl


",,https://en.wikipedia.org/wiki/Paddington_(film),Paddington,"



Heyday Films
StudioCanal



",288700000,<type 'float'>,â‚¬38.5,<type 'unicode'>,[2014-11-28 00:00:00],2014,11,28-Nov,"[[, , , Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw, , , ], [, , , Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw, , , ], [, , , Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw, , , ], [, , , Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw, , , ], [, , , Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw, , , ], [, , , Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw, , , ], [, , , Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw, , , ], [, , , Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw, , , ], [, , , Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw, , , ], [, , , Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw, , , ], [, , , Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw, , , ], [, , , Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw, , , ], [, , , Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw, , , ]]",[[Paul King]]

115 minutes[1],"La Vida Robot
by Joshua Davis",$3.6 million[2],,Richard Wong,United States,Sean McNamara,Lionsgate,Maysie Hoy,"


English
Spanish


",AndrÃ©s Levin,,"


David Alpert
Rick Jacobs
Leslie Kolins Small
George Lopez
Ben Odell


",,"


George Lopez
Jamie Lee Curtis
Carlos PenaVega
Marisa Tomei


",,Elissa Matsueda,https://en.wikipedia.org/wiki/Spare_Parts_(film),Spare Parts,"



Brookwell-McNamara Entertainment
Pantelion Films



Televisa Films
Circle of Confusion


",3600000,<type 'float'>,,,[2015-01-16 00:00:00],2015,1,16-Jan,"[[, , , George Lopez, Jamie Lee Curtis, Carlos PenaVega, Marisa Tomei, , , ], [, , , George Lopez, Jamie Lee Curtis, Carlos PenaVega, Marisa Tomei, , , ], [, , , George Lopez, Jamie Lee Curtis, Carlos PenaVega, Marisa Tomei, , , ], [, , , George Lopez, Jamie Lee Curtis, Carlos PenaVega, Marisa Tomei, , , ], [, , , George Lopez, Jamie Lee Curtis, Carlos PenaVega, Marisa Tomei, , , ], [, , , George Lopez, Jamie Lee Curtis, Carlos PenaVega, Marisa Tomei, , , ], [, , , George Lopez, Jamie Lee Curtis, Carlos PenaVega, Marisa Tomei, , , ], [, , , George Lopez, Jamie Lee Curtis, Carlos PenaVega, Marisa Tomei, , , ], [, , , George Lopez, Jamie Lee Curtis, Carlos PenaVega, Marisa Tomei, , , ], [, , , George Lopez, Jamie Lee Curtis, Carlos PenaVega, Marisa Tomei, , , ]]",[[Sean McNamara]]

101 minutes[3],,$79.8 million[4],$23 million[4],Bradford Lipson[2],United States,Jeremy Garelick,Screen Gems,,English,Christopher Lennertz,,"


Adam Fields
Will Packer[1]


",,"


Kevin Hart
Josh Gad
Kaley Cuoco
Ken Howard
Alan Ritchson
Cloris Leachman
Mimi Rogers
Olivia Thirlby


",,"


Jeremy Garelick
Jay Lavender


",https://en.wikipedia.org/wiki/The_Wedding_Ringer,The Wedding Ringer,"



Miramax
LStar Capital
Will Packer Productions



