0,director_name,movies,revenues,costs,gross_profit,return,count
David Lowery,David Lowery,"[https://en.wikipedia.org/wiki/Ain%27t_Them_Bodies_Saints, https://en.wikipedia.org/wiki/Pete%27s_Dragon_(2016_film)]",144700000.0,69000000.0,3350000.0,0.0485507246377,2
"Alastair Fothergill
Keith Scholey","Alastair Fothergill
Keith Scholey",[https://en.wikipedia.org/wiki/African_Cats],30900000.0,5000000.0,10450000.0,2.09,1
Ilya Naishuller,Ilya Naishuller,[https://en.wikipedia.org/wiki/Hardcore_Henry],14300000.0,2000000.0,5150000.0,2.575,1
"


Nathan Greno
Byron Howard


","


Nathan Greno
Byron Howard


",[https://en.wikipedia.org/wiki/Tangled_(2010_film)],591800000.0,260000000.0,35900000.0,0.138076923077,1
Tobe Hooper,Tobe Hooper,[https://en.wikipedia.org/wiki/Poltergeist_(1982_film)],121700000.0,10700000.0,50150000.0,4.68691588785,1
Matt Piedmont,Matt Piedmont,[https://en.wikipedia.org/wiki/Casa_de_Mi_Padre],8041667.0,6000000.0,-1979166.5,-0.329861083333,1
David Zucker,David Zucker,[https://en.wikipedia.org/wiki/Scary_Movie_4],178300000.0,40000000.0,49150000.0,1.22875,1
Adam Sherman,Adam Sherman,[https://en.wikipedia.org/wiki/Crazy_Eyes_(film)],6106.0,10000000.0,-9996947.0,-0.9996947,1
Tommy Lee Jones,Tommy Lee Jones,[https://en.wikipedia.org/wiki/The_Homesman],3440000.0,16000000.0,-14280000.0,-0.8925,1
Francis Lawrence,Francis Lawrence,"[https://en.wikipedia.org/wiki/Water_for_Elephants_(film), https://en.wikipedia.org/wiki/The_Hunger_Games:_Catching_Fire, https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_1, https://en.wikipedia.org/wiki/The_Hunger_Games:_Catching_Fire]",2602500000.0,423000000.0,878250000.0,2.07624113475,4
Jenée LaMarque,Jenée LaMarque,"[https://en.wikipedia.org/wiki/The_Pretty_One, https://en.wikipedia.org/wiki/The_Pretty_One]",0.0,0.0,0.0,,2
Peter Berg,Peter Berg,"[https://en.wikipedia.org/wiki/Battleship_(film), https://en.wikipedia.org/wiki/Lone_Survivor_(film), https://en.wikipedia.org/wiki/Deepwater_Horizon_(film)]",577300000.0,405000000.0,-116350000.0,-0.287283950617,3
Paul Haggis,Paul Haggis,[https://en.wikipedia.org/wiki/The_Next_Three_Days],67400000.0,30000000.0,3700000.0,0.123333333333,1
"George Tillman, Jr.","George Tillman, Jr.","[https://en.wikipedia.org/wiki/The_Inevitable_Defeat_of_Mister_%26_Pete, https://en.wikipedia.org/wiki/The_Longest_Ride_(film)]",65439423.0,37000000.0,-4280288.5,-0.115683472973,2
